candidate_id,news_weight,momentum_weight,volume_weight,threshold,median_balanced_accuracy,mean_balanced_accuracy,worst_fold_balanced_accuracy,std_balanced_accuracy,mean_macro_f1,coverage,degeneracy_flag,degeneracy_reason,selected,justified,fold_id,fold_n,fold_balanced_accuracy,fold_macro_f1,fold_strict_accuracy,fold_directional_accuracy,fold_prediction_distribution,fold_realized_distribution
v2_1_grid_042,0.55,0.45,0.0,0.15,0.35714285714285715,0.3357142857142857,0.25,0.06308400618805604,0.42558356676003734,1.0,False,,True,False,fold_1,30,0.39999999999999997,0.4238095238095238,0.43333333333333335,1.0,"{""BULLISH"": 4, ""NEUTRAL"": 26}","{""BEARISH"": 1, ""BULLISH"": 20, ""NEUTRAL"": 9}"
v2_1_grid_042,0.55,0.45,0.0,0.15,0.35714285714285715,0.3357142857142857,0.25,0.06308400618805604,0.42558356676003734,1.0,False,,True,False,fold_2,29,0.35714285714285715,0.4084967320261438,0.4482758620689655,0.14285714285714285,"{""BEARISH"": 3, ""BULLISH"": 4, ""NEUTRAL"": 22}","{""BEARISH"": 3, ""BULLISH"": 14, ""NEUTRAL"": 12}"
v2_1_grid_042,0.55,0.45,0.0,0.15,0.35714285714285715,0.3357142857142857,0.25,0.06308400618805604,0.42558356676003734,1.0,False,,True,False,fold_3,30,0.25,0.4444444444444445,0.26666666666666666,0.36363636363636365,"{""BEARISH"": 2, ""BULLISH"": 20, ""NEUTRAL"": 8}","{""BEARISH"": 14, ""BULLISH"": 16}"
v2_0_reference,0.55,0.35,0.1,0.2,0.35714285714285715,0.3148809523809524,0.1875,0.0917555227968258,0.39508247743541863,1.0,False,,False,False,fold_1,30,0.39999999999999997,0.4238095238095238,0.43333333333333335,1.0,"{""BULLISH"": 4, ""NEUTRAL"": 26}","{""BEARISH"": 1, ""BULLISH"": 20, ""NEUTRAL"": 9}"
v2_0_reference,0.55,0.35,0.1,0.2,0.35714285714285715,0.3148809523809524,0.1875,0.0917555227968258,0.39508247743541863,1.0,False,,False,False,fold_2,29,0.35714285714285715,0.4084967320261438,0.4482758620689655,0.14285714285714285,"{""BEARISH"": 3, ""BULLISH"": 4, ""NEUTRAL"": 22}","{""BEARISH"": 3, ""BULLISH"": 14, ""NEUTRAL"": 12}"
v2_0_reference,0.55,0.35,0.1,0.2,0.35714285714285715,0.3148809523809524,0.1875,0.0917555227968258,0.39508247743541863,1.0,False,,False,False,fold_3,30,0.1875,0.35294117647058826,0.2,0.3,"{""BEARISH"": 2, ""BULLISH"": 18, ""NEUTRAL"": 10}","{""BEARISH"": 14, ""BULLISH"": 16}"
v2_1_grid_001,0.45,0.4,0.15,0.1,0.2518518518518518,0.286331569664903,0.25,0.05007684870632604,0.3856962139694588,1.0,False,,False,False,fold_1,30,0.2518518518518518,0.30414746543778803,0.3,1.0,"{""BULLISH"": 8, ""NEUTRAL"": 22}","{""BEARISH"": 1, ""BULLISH"": 20, ""NEUTRAL"": 9}"
v2_1_grid_001,0.45,0.4,0.15,0.1,0.2518518518518518,0.286331569664903,0.25,0.05007684870632604,0.3856962139694588,1.0,False,,False,False,fold_2,29,0.35714285714285715,0.4084967320261438,0.4482758620689655,0.14285714285714285,"{""BEARISH"": 3, ""BULLISH"": 4, ""NEUTRAL"": 22}","{""BEARISH"": 3, ""BULLISH"": 14, ""NEUTRAL"": 12}"
v2_1_grid_001,0.45,0.4,0.15,0.1,0.2518518518518518,0.286331569664903,0.25,0.05007684870632604,0.3856962139694588,1.0,False,,False,False,fold_3,30,0.25,0.4444444444444445,0.26666666666666666,0.36363636363636365,"{""BEARISH"": 2, ""BULLISH"": 20, ""NEUTRAL"": 8}","{""BEARISH"": 14, ""BULLISH"": 16}"
v2_1_grid_002,0.45,0.4,0.15,0.15,0.35714285714285715,0.3148809523809524,0.1875,0.0917555227968258,0.3917211328976035,1.0,False,,False,False,fold_1,30,0.39999999999999997,0.4238095238095238,0.43333333333333335,1.0,"{""BULLISH"": 4, ""NEUTRAL"": 26}","{""BEARISH"": 1, ""BULLISH"": 20, ""NEUTRAL"": 9}"
v2_1_grid_002,0.45,0.4,0.15,0.15,0.35714285714285715,0.3148809523809524,0.1875,0.0917555227968258,0.3917211328976035,1.0,False,,False,False,fold_2,29,0.35714285714285715,0.3984126984126984,0.4482758620689655,0.16666666666666666,"{""BEARISH"": 2, ""BULLISH"": 4, ""NEUTRAL"": 23}","{""BEARISH"": 3, ""BULLISH"": 14, ""NEUTRAL"": 12}"
v2_1_grid_002,0.45,0.4,0.15,0.15,0.35714285714285715,0.3148809523809524,0.1875,0.0917555227968258,0.3917211328976035,1.0,False,,False,False,fold_3,30,0.1875,0.35294117647058826,0.2,0.3,"{""BEARISH"": 2, ""BULLISH"": 18, ""NEUTRAL"": 10}","{""BEARISH"": 14, ""BULLISH"": 16}"
v2_1_grid_003,0.45,0.4,0.15,0.2,0.35714285714285715,0.3148809523809524,0.1875,0.0917555227968258,0.3917211328976035,1.0,False,,False,False,fold_1,30,0.39999999999999997,0.4238095238095238,0.43333333333333335,1.0,"{""BULLISH"": 4, ""NEUTRAL"": 26}","{""BEARISH"": 1, ""BULLISH"": 20, ""NEUTRAL"": 9}"
v2_1_grid_003,0.45,0.4,0.15,0.2,0.35714285714285715,0.3148809523809524,0.1875,0.0917555227968258,0.3917211328976035,1.0,False,,False,False,fold_2,29,0.35714285714285715,0.3984126984126984,0.4482758620689655,0.16666666666666666,"{""BEARISH"": 2, ""BULLISH"": 4, ""NEUTRAL"": 23}","{""BEARISH"": 3, ""BULLISH"": 14, ""NEUTRAL"": 12}"
v2_1_grid_003,0.45,0.4,0.15,0.2,0.35714285714285715,0.3148809523809524,0.1875,0.0917555227968258,0.3917211328976035,1.0,False,,False,False,fold_3,30,0.1875,0.35294117647058826,0.2,0.3,"{""BEARISH"": 2, ""BULLISH"": 18, ""NEUTRAL"": 10}","{""BEARISH"": 14, ""BULLISH"": 16}"
v2_1_grid_004,0.45,0.4,0.15,0.25,0.3333333333333333,0.2926587301587302,0.1875,0.07499107614668356,0.39371543489190547,1.0,False,,False,False,fold_1,30,0.3333333333333333,0.4615384615384615,0.3,,"{""NEUTRAL"": 30}","{""BEARISH"": 1, ""BULLISH"": 20, ""NEUTRAL"": 9}"
v2_1_grid_004,0.45,0.4,0.15,0.25,0.3333333333333333,0.2926587301587302,0.1875,0.07499107614668356,0.39371543489190547,1.0,False,,False,False,fold_2,29,0.35714285714285715,0.36666666666666664,0.4482758620689655,1.0,"{""BULLISH"": 1, ""NEUTRAL"": 28}","{""BEARISH"": 3, ""BULLISH"": 14, ""NEUTRAL"": 12}"
v2_1_grid_004,0.45,0.4,0.15,0.25,0.3333333333333333,0.2926587301587302,0.1875,0.07499107614668356,0.39371543489190547,1.0,False,,False,False,fold_3,30,0.1875,0.35294117647058826,0.2,0.3333333333333333,"{""BULLISH"": 18, ""NEUTRAL"": 12}","{""BEARISH"": 14, ""BULLISH"": 16}"
v2_1_grid_005,0.45,0.4,0.15,0.3,0.3333333333333333,0.2926587301587302,0.1875,0.07499107614668356,0.39371543489190547,1.0,False,,False,False,fold_1,30,0.3333333333333333,0.4615384615384615,0.3,,"{""NEUTRAL"": 30}","{""BEARISH"": 1, ""BULLISH"": 20, ""NEUTRAL"": 9}"
v2_1_grid_005,0.45,0.4,0.15,0.3,0.3333333333333333,0.2926587301587302,0.1875,0.07499107614668356,0.39371543489190547,1.0,False,,False,False,fold_2,29,0.35714285714285715,0.36666666666666664,0.4482758620689655,1.0,"{""BULLISH"": 1, ""NEUTRAL"": 28}","{""BEARISH"": 3, ""BULLISH"": 14, ""NEUTRAL"": 12}"
v2_1_grid_005,0.45,0.4,0.15,0.3,0.3333333333333333,0.2926587301587302,0.1875,0.07499107614668356,0.39371543489190547,1.0,False,,False,False,fold_3,30,0.1875,0.35294117647058826,0.2,0.3333333333333333,"{""BULLISH"": 18, ""NEUTRAL"": 12}","{""BEARISH"": 14, ""BULLISH"": 16}"
v2_1_grid_006,0.45,0.45,0.1,0.1,0.25,0.20299823633156966,0.10714285714285714,0.06778420478931257,0.30187631563975653,1.0,False,,False,False,fold_1,30,0.2518518518518518,0.30414746543778803,0.3,1.0,"{""BULLISH"": 8, ""NEUTRAL"": 22}","{""BEARISH"": 1, ""BULLISH"": 20, ""NEUTRAL"": 9}"
v2_1_grid_006,0.45,0.45,0.1,0.1,0.25,0.20299823633156966,0.10714285714285714,0.06778420478931257,0.30187631563975653,1.0,False,,False,False,fold_2,29,0.10714285714285714,0.15703703703703706,0.13793103448275862,0.14285714285714285,"{""BEARISH"": 3, ""BULLISH"": 13, ""NEUTRAL"": 13}","{""BEARISH"": 3, ""BULLISH"": 14, ""NEUTRAL"": 12}"
v2_1_grid_006,0.45,0.45,0.1,0.1,0.25,0.20299823633156966,0.10714285714285714,0.06778420478931257,0.30187631563975653,1.0,False,,False,False,fold_3,30,0.25,0.4444444444444445,0.26666666666666666,0.36363636363636365,"{""BEARISH"": 2, ""BULLISH"": 20, ""NEUTRAL"": 8}","{""BEARISH"": 14, ""BULLISH"": 16}"
v2_1_grid_007,0.45,0.45,0.1,0.15,0.35714285714285715,0.3357142857142857,0.25,0.06308400618805604,0.4222222222222222,1.0,False,,False,False,fold_1,30,0.39999999999999997,0.4238095238095238,0.43333333333333335,1.0,"{""BULLISH"": 4, ""NEUTRAL"": 26}","{""BEARISH"": 1, ""BULLISH"": 20, ""NEUTRAL"": 9}"
v2_1_grid_007,0.45,0.45,0.1,0.15,0.35714285714285715,0.3357142857142857,0.25,0.06308400618805604,0.4222222222222222,1.0,False,,False,False,fold_2,29,0.35714285714285715,0.3984126984126984,0.4482758620689655,0.16666666666666666,"{""BEARISH"": 2, ""BULLISH"": 4, ""NEUTRAL"": 23}","{""BEARISH"": 3, ""BULLISH"": 14, ""NEUTRAL"": 12}"
v2_1_grid_007,0.45,0.45,0.1,0.15,0.35714285714285715,0.3357142857142857,0.25,0.06308400618805604,0.4222222222222222,1.0,False,,False,False,fold_3,30,0.25,0.4444444444444445,0.26666666666666666,0.36363636363636365,"{""BEARISH"": 2, ""BULLISH"": 20, ""NEUTRAL"": 8}","{""BEARISH"": 14, ""BULLISH"": 16}"
v2_1_grid_008,0.45,0.45,0.1,0.2,0.35714285714285715,0.3148809523809524,0.1875,0.0917555227968258,0.3855435267199973,1.0,False,,False,False,fold_1,30,0.39999999999999997,0.4238095238095238,0.43333333333333335,1.0,"{""BULLISH"": 4, ""NEUTRAL"": 26}","{""BEARISH"": 1, ""BULLISH"": 20, ""NEUTRAL"": 9}"
