article_id,instrument,evaluation_timestamp,prediction,realized,score,correct,primary_error_category,secondary_error_category,news,momentum,volume
64,US:AAPL,2020-05-28 00:00:00,NEUTRAL,NEUTRAL,0.1165173850309563,True,CORRECT,,0.20661643023132867,0.2225182882325918,0.08223651115858749
65,US:AAPL,2020-05-28 00:00:00,NEUTRAL,NEUTRAL,0.1165173850309563,True,CORRECT,,0.20661643023132867,0.2225182882325918,0.08223651115858749
94,US:AMZN,2020-05-28 00:00:00,NEUTRAL,BULLISH,-0.0091965693453795,False,NEUTRAL_BAND_MISS,INSUFFICIENT_DIRECTIONAL_EVIDENCE,0.031543861555783474,-0.09461334658543694,0.0
95,US:AMZN,2020-05-28 00:00:00,NEUTRAL,BULLISH,-0.0091965693453795,False,NEUTRAL_BAND_MISS,INSUFFICIENT_DIRECTIONAL_EVIDENCE,0.031543861555783474,-0.09461334658543694,0.0
96,US:AMZN,2020-05-28 00:00:00,NEUTRAL,BULLISH,-0.0091965693453795,False,NEUTRAL_BAND_MISS,INSUFFICIENT_DIRECTIONAL_EVIDENCE,0.031543861555783474,-0.09461334658543694,0.0
97,US:AMZN,2020-05-28 00:00:00,NEUTRAL,BULLISH,-0.0091965693453795,False,NEUTRAL_BAND_MISS,INSUFFICIENT_DIRECTIONAL_EVIDENCE,0.031543861555783474,-0.09461334658543694,0.0
134,US:GOOGL,2020-05-28 00:00:00,NEUTRAL,BULLISH,0.0274476150660138,False,NEUTRAL_BAND_MISS,INSUFFICIENT_DIRECTIONAL_EVIDENCE,-0.0729597790122159,0.23967913207451805,0.03293236629518248
135,US:GOOGL,2020-05-28 00:00:00,NEUTRAL,BULLISH,0.0274476150660138,False,NEUTRAL_BAND_MISS,INSUFFICIENT_DIRECTIONAL_EVIDENCE,-0.0729597790122159,0.23967913207451805,0.03293236629518248
136,US:GOOGL,2020-05-28 00:00:00,NEUTRAL,BULLISH,0.0274476150660138,False,NEUTRAL_BAND_MISS,INSUFFICIENT_DIRECTIONAL_EVIDENCE,-0.0729597790122159,0.23967913207451805,0.03293236629518248
137,US:GOOGL,2020-05-28 00:00:00,NEUTRAL,BULLISH,0.0274476150660138,False,NEUTRAL_BAND_MISS,INSUFFICIENT_DIRECTIONAL_EVIDENCE,-0.0729597790122159,0.23967913207451805,0.03293236629518248
138,US:GOOGL,2020-05-28 00:00:00,NEUTRAL,BULLISH,0.0274476150660138,False,NEUTRAL_BAND_MISS,INSUFFICIENT_DIRECTIONAL_EVIDENCE,-0.0729597790122159,0.23967913207451805,0.03293236629518248
139,US:GOOGL,2020-05-28 00:00:00,NEUTRAL,BULLISH,0.0274476150660138,False,NEUTRAL_BAND_MISS,INSUFFICIENT_DIRECTIONAL_EVIDENCE,-0.0729597790122159,0.23967913207451805,0.03293236629518248
184,US:NVDA,2020-05-28 00:00:00,NEUTRAL,BULLISH,-0.0484777808810154,False,NEUTRAL_BAND_MISS,INSUFFICIENT_DIRECTIONAL_EVIDENCE,0.1423668736071406,-0.318304422024358,-0.5
195,US:TSLA,2020-05-28 00:00:00,BULLISH,BULLISH,0.2810724098629414,True,CORRECT,,0.711134071779199,0.2509651386944125,0.028768788862957584
196,US:TSLA,2020-05-28 00:00:00,BULLISH,BULLISH,0.2810724098629414,True,CORRECT,,0.711134071779199,0.2509651386944125,0.028768788862957584
197,US:TSLA,2020-05-28 00:00:00,BULLISH,BULLISH,0.2810724098629414,True,CORRECT,,0.711134071779199,0.2509651386944125,0.028768788862957584
198,US:TSLA,2020-05-28 00:00:00,BULLISH,BULLISH,0.2810724098629414,True,CORRECT,,0.711134071779199,0.2509651386944125,0.028768788862957584
